Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Profit of customer - $Mn,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training622,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 1.297 , 12.4 , 53 ,56
Training623,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.905 , 7.8 , 62 ,62
Training624,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 1.437 , 4.4 , 48 ,74
Training625,Won,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 0.607 , 8.0 , 48 ,63
Training626,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.256 , 12.5 , 62 ,60
Training627,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.900 , 8.9 , 29 ,45
Training628,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, (0.195), 8.6 , 39 ,64
Training629,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.485 , 9.0 , 60 ,49
Training630,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 1.318 , 5.6 , 54 ,76
Training631,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 0.395 , 6.2 , 52 ,45
Training632,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.384 , 9.9 , 47 ,54
Training633,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67, 1.111 , 9.9 , 46 ,64
Training634,Lost,Procsys,Clinical research,UK,"Procsys,Clinical research,UK",70, 1.920 , 8.4 , 53 ,90
Training635,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 1.119 , 8.6 , 48 ,50
Training636,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 1.377 , 6.2 , 46 ,70
Training637,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.353 , 7.7 , 54 ,59
Training638,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.742 , 10.5 , 43 ,56
Training639,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 0.807 , 4.4 , 42 ,43
Training640,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 0.735 , 11.3 , 41 ,63
Training641,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.504 , 8.1 , 55 ,68
Training642,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.559 , 12.2 , 52 ,47
Training643,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 0.951 , 7.7 , 45 ,63
Training644,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 1.394 , 3.4 , 54 ,61
Training645,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 0.929 , 5.2 , 23 ,65
Training646,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67, 0.693 , 12.0 , 52 ,62
Training647,Lost,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 1.842 , 11.8 , 61 ,62
Training648,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 2.306 , 5.8 , 53 ,44
Training649,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.786 , 5.9 , 58 ,55
Training650,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.611 , 9.3 , 35 ,57
Training651,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.526 , 5.2 , 37 ,54
Training652,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.955 , 6.7 , 62 ,52
Training653,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 0.424 , 5.8 , 53 ,67
Training654,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.809 , 7.9 , 57 ,58
Training655,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.189 , 6.7 , 50 ,100
Training656,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.813 , 12.0 , 40 ,63
Training657,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, 0.583 , 9.8 , 61 ,57
Training658,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.546 , 7.0 , 59 ,54
Training659,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.118 , 8.0 , 60 ,54
Training660,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.266 , 7.6 , 53 ,59
Training661,Lost,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 1.361 , 8.4 , 58 ,55
Training662,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 1.628 , 9.9 , 74 ,59
Training663,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.202 , 10.8 , 51 ,62
Training664,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.205 , 5.7 , 26 ,64
Training665,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.292 , 8.4 , 39 ,100
Training666,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.256 , 10.5 , 43 ,54
Training667,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.860 , 8.0 , 50 ,63
Training668,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.881 , 8.3 , 53 ,48
Training669,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 2.112 , 9.6 , 64 ,49
Training670,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.925 , 5.0 , 47 ,54
Training671,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, (0.179), 10.3 , 52 ,40
Training672,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.341 , 4.9 , 42 ,58
Training673,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.449 , 5.4 , 53 ,67
Training674,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.196 , 8.5 , 54 ,53
Training675,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.140 , 8.8 , 53 ,59
Training676,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 1.195 , 7.4 , 41 ,64
Training677,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.366 , 6.8 , 55 ,62
Training678,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.639 , 8.7 , 45 ,72
Training679,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 0.566 , 9.8 , 40 ,64
Training680,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.685 , 5.3 , 59 ,51
Training681,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32, 0.700 , 11.3 , 45 ,67
Training682,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 0.576 , 8.8 , 48 ,65
Training683,Won,GTMSys,Health,UK,"GTMSys,Health,UK",67, 0.312 , 11.1 , 39 ,56
Training684,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.783 , 8.3 , 44 ,62
Training685,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.862 , 11.7 , 52 ,90
Training686,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.656 , 5.7 , 63 ,53
Training687,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.508 , 7.2 , 48 ,55
Training688,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.824 , 7.2 , 42 ,65
Training689,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.765 , 10.8 , 49 ,63
Training690,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.649 , 5.8 , 76 ,50
Training691,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, 1.089 , 10.3 , 38 ,55
Training692,Lost,GTMSys,Defense,UK,"GTMSys,Defense,UK",83, 0.688 , 8.7 , 50 ,52
Training693,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.589 , 7.8 , 72 ,60
Training694,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 1.725 , 8.6 , 39 ,79
Training695,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 1.955 , 7.2 , 62 ,63
Training696,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 1.269 , 11.4 , 69 ,69
Training697,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.772 , 6.2 , 47 ,69
Training698,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.265 , 8.7 , 40 ,72
Training699,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 0.923 , 9.2 , 41 ,45
Training700,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.981 , 7.8 , 66 ,49
Training701,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.309 , 10.4 , 45 ,66
Training702,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.254 , 8.8 , 57 ,58
Training703,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.329 , 9.8 , 33 ,45
Training704,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.595 , 10.8 , 37 ,47
Training705,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.602 , 6.8 , 49 ,57
Training706,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 1.225 , 7.3 , 42 ,74
Training707,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.805 , 6.6 , 57 ,60
Training708,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 2.112 , 12.9 , 45 ,55
Training709,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.945 , 7.0 , 52 ,64
Training710,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.313 , 8.4 , 56 ,65
Training711,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.211 , 8.8 , 46 ,55
Training712,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.871 , 7.6 , 57 ,61
Training713,Won,Procsys,Capital Markets,Americas,"Procsys,Capital Markets,Americas",28, 0.666 , 10.7 , 68 ,77
Training714,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.705 , 8.4 , 77 ,72
Training715,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.703 , 6.5 , 51 ,44
Training716,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 0.839 , 5.6 , 77 ,68
Training717,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.270 , 9.0 , 48 ,68
Training718,Won,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, (0.069), 7.5 , 36 ,53
Training719,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.258 , 8.1 , 21 ,48
Training720,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, 0.886 , 7.4 , 55 ,69
Training721,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.131 , 7.1 , 55 ,61
Training722,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 1.073 , 7.5 , 43 ,59
Training723,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 1.126 , 7.6 , 56 ,39
Training724,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.656 , 5.8 , 57 ,74
Training725,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 1.055 , 8.8 , 31 ,55
Training726,Lost,Procsys,Capital Markets,Americas,"Procsys,Capital Markets,Americas",28, 1.481 , 7.6 , 58 ,63
Training727,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 1.029 , 5.9 , 37 ,46
Training728,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.514 , 9.8 , 51 ,68
Training729,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.537 , 7.8 , 54 ,50
Training730,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 1.048 , 6.8 , 46 ,66
Training731,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.013 , 6.1 , 46 ,60
Training732,Won,GTMSys,Security,Singapore,"GTMSys,Security,Singapore",73, 0.466 , 2.4 , 30 ,53
Training733,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.627 , 8.0 , 50 ,56
Training734,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36, 1.352 , 5.9 , 55 ,60
Training735,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, (0.561), 4.3 , 53 ,65
Training736,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.483 , 6.5 , 30 ,90
Training737,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.542 , 8.2 , 55 ,72
Training738,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 1.621 , 10.5 , 47 ,66
Training739,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.485 , 10.3 , 42 ,56
Training740,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 1.543 , 7.8 , 38 ,63
Training741,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.945 , 10.7 , 44 ,50
Training742,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.752 , 12.3 , 63 ,70
Training743,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 0.934 , 8.9 , 50 ,55
Training744,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.518 , 4.5 , 41 ,47
Training745,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 0.666 , 7.5 , 41 ,59
Training746,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.690 , 7.8 , 43 ,56
Training747,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.776 , 7.9 , 66 ,100
Training748,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 1.451 , 10.2 , 71 ,62
Training749,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.705 , 8.9 , 55 ,70
Training750,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.404 , 6.6 , 47 ,59
Training751,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 0.897 , 7.7 , 65 ,74
Training752,Won,GTMSys,Agriculture,Other Europe,"GTMSys,Agriculture,Other Europe",26, 0.035 , 3.0 , 55 ,44
Training753,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.722 , 7.6 , 57 ,52
Training754,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.736 , 11.0 , 43 ,60
Training755,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.559 , 8.9 , 51 ,62
Training756,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.246 , 8.0 , 53 ,51
Training757,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.617 , 6.4 , 50 ,65
Training758,Lost,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 1.790 , 6.6 , 51 ,55
Training759,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 1.029 , 10.8 , 62 ,63
Training760,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.550 , 7.6 , 48 ,53
Training761,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32, 0.752 , 9.7 , 60 ,56
Training762,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.536 , 4.5 , 51 ,51
Training763,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, (0.031), 7.1 , 30 ,56
Training764,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.865 , 10.8 , 31 ,61
Training765,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.284 , 9.4 , 41 ,62
Training766,Lost,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 1.225 , 8.9 , 56 ,51
Training767,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 0.431 , 7.4 , 42 ,56
Training768,Won,GTMSys,Other Govt.,Other Europe,"GTMSys,Other Govt.,Other Europe",72, 0.701 , 7.9 , 36 ,54
Training769,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.371 , 6.8 , 43 ,60
Training770,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34, 0.529 , 5.5 , 53 ,54
Training771,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 1.196 , 3.0 , 47 ,69
Training772,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.202 , 10.6 , 68 ,90
Training773,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.797 , 7.5 , 56 ,65
Training774,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.729 , 4.8 , 35 ,73
Training775,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.269 , 7.8 , 39 ,47
Training776,Won,Procsys,Mobility,Canada,"Procsys,Mobility,Canada",29, 0.529 , 5.2 , 27 ,67
Training777,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.259 , 8.5 , 58 ,61
Training778,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, (0.231), 6.9 , 54 ,64
Training779,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 2.112 , 8.5 , 61 ,69
Training780,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 2.112 , 4.4 , 55 ,66
Training781,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.306 , 7.0 , 38 ,57
Training782,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68, 1.626 , 5.2 , 45 ,48
Training783,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 0.948 , 8.1 , 59 ,65
Training784,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.798 , 6.0 , 63 ,64
Training785,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.293 , 9.7 , 64 ,63
Training786,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.674 , 9.8 , 38 ,53
Training787,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.019 , 8.2 , 34 ,67
Training788,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 0.915 , 6.2 , 64 ,62
Training789,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.225 , 7.8 , 42 ,73
Training790,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.376 , 9.5 , 44 ,64
Training791,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 1.445 , 6.4 , 51 ,60
Training792,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, (0.007), 6.6 , 59 ,44
Training793,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 1.070 , 6.5 , 60 ,48
Training794,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.308 , 6.8 , 43 ,61
Training795,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 1.246 , 7.8 , 40 ,55
Training796,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.300 , 5.9 , 49 ,55
Training797,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 0.387 , 7.5 , 40 ,49
Training798,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.821 , 8.6 , 53 ,52
Training799,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 1.179 , 8.0 , 41 ,57
Training800,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.451 , 12.0 , 54 ,59
Training801,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.631 , 7.3 , 46 ,52
Training802,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.908 , 10.1 , 61 ,58
Training803,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, 1.737 , 11.8 , 43 ,78
Training804,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 1.310 , 8.3 , 58 ,67
Training805,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34, 0.974 , 7.4 , 48 ,38
Training806,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.034 , 7.7 , 63 ,79
Training807,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.220 , 6.7 , 52 ,61
Training808,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.446 , 6.0 , 57 ,61
Training809,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.271 , 6.1 , 58 ,54
Training810,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 1.692 , 7.4 , 50 ,66
Training811,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.117 , 7.9 , 48 ,62
Training812,Won,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 0.612 , 7.1 , 40 ,43
Training813,Won,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66, 0.168 , 7.3 , 62 ,66
Training814,Lost,Procsys,Insurance,UK,"Procsys,Insurance,UK",75, 1.225 , 11.4 , 43 ,54
Training815,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.283 , 8.5 , 42 ,54
Training816,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.262 , 7.4 , 41 ,70
Training817,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.563 , 5.5 , 69 ,62
Training818,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, 1.515 , 10.1 , 45 ,42
Training819,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 1.257 , 10.8 , 72 ,54
Training820,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.847 , 7.6 , 49 ,61
Training821,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 0.921 , 6.9 , 38 ,100
Training822,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, 1.484 , 7.8 , 53 ,53
Training823,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.670 , 12.3 , 71 ,65
Training824,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.770 , 6.0 , 55 ,78
Training825,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 0.540 , 8.2 , 51 ,73
Training826,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.058 , 5.0 , 56 ,49
Training827,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.867 , 8.7 , 52 ,69
Training828,Won,GTMSys,Other Govt.,Japan,"GTMSys,Other Govt.,Japan",24, 0.825 , 10.8 , 56 ,59
Training829,Won,Procsys,Security,Americas,"Procsys,Security,Americas",68, 0.398 , 5.4 , 42 ,59
Training830,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.153 , 8.0 , 66 ,55
Training831,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 0.393 , 7.3 , 58 ,59
Training832,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.796 , 7.4 , 60 ,66
Training833,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.972 , 12.5 , 78 ,40
Training834,Won,Procsys,Clinical research,UK,"Procsys,Clinical research,UK",70, 0.315 , 6.1 , 45 ,58
Training835,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.252 , 8.7 , 30 ,43
Training836,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.870 , 8.7 , 52 ,69
Training837,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.249 , 9.1 , 50 ,57
Training838,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.765 , 11.0 , 67 ,66
Training839,Won,Procsys,Mobility,Canada,"Procsys,Mobility,Canada",29, 1.546 , 13.8 , 38 ,75
Training840,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.566 , 7.9 , 54 ,75
Training841,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.619 , 9.9 , 60 ,53
Training842,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.380 , 7.6 , 59 ,70
Training843,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66, 0.411 , 7.4 , 64 ,48
Training844,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.393 , 9.1 , 47 ,50
Training845,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.612 , 6.6 , 54 ,66
Training846,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.990 , 5.9 , 41 ,48
Training847,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.389 , 10.3 , 39 ,58
Training848,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.038 , 9.2 , 42 ,76
Training849,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.382 , 7.7 , 57 ,53
Training850,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.614 , 10.2 , 48 ,68
Training851,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 0.385 , 8.5 , 30 ,62
Training852,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.908 , 6.4 , 70 ,58
Training853,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.539 , 5.9 , 74 ,72
Training854,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.578 , 6.5 , 72 ,53
Training855,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.377 , 4.8 , 62 ,62
Training856,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 1.045 , 7.3 , 59 ,63
Training857,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, (0.000), 7.4 , 40 ,67
Training858,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67, 1.054 , 8.7 , 61 ,62
